timestamp,action,key
136532096,ACTION_DOWN,B
136532096,ACTION_UP,B
136532832,ACTION_DOWN,A
136532832,ACTION_UP,A
136533616,ACTION_DOWN,T
136533616,ACTION_UP,T
136534240,ACTION_DOWN,M
136534240,ACTION_UP,M
136534960,ACTION_DOWN,A
136534960,ACTION_UP,A
136535792,ACTION_DOWN,N
136535792,ACTION_UP,N
136537120,ACTION_DOWN,B
136537120,ACTION_UP,B
136537808,ACTION_DOWN,A
136537808,ACTION_UP,A
136538512,ACTION_DOWN,T
136538512,ACTION_UP,T
136539296,ACTION_DOWN,M
136539296,ACTION_UP,M
136539984,ACTION_DOWN,A
136539984,ACTION_UP,A
136540832,ACTION_DOWN,N
136540832,ACTION_UP,N
136541904,ACTION_DOWN,B
136541904,ACTION_UP,B
136542528,ACTION_DOWN,A
136542544,ACTION_UP,A
136543328,ACTION_DOWN,T
136543328,ACTION_UP,T
136544144,ACTION_DOWN,M
136544144,ACTION_UP,M
136544864,ACTION_DOWN,A
136544864,ACTION_UP,A
136545632,ACTION_DOWN,N
136545632,ACTION_UP,N
136547024,ACTION_DOWN,B
136547040,ACTION_UP,B
136547872,ACTION_DOWN,A
136547872,ACTION_UP,A
136548672,ACTION_DOWN,T
136548672,ACTION_UP,T
136549504,ACTION_DOWN,M
136549504,ACTION_UP,M
136550304,ACTION_DOWN,A
136550304,ACTION_UP,A
136551024,ACTION_DOWN,N
136551024,ACTION_UP,N
136552976,ACTION_DOWN,B
136552976,ACTION_UP,B
136553760,ACTION_DOWN,A
136553760,ACTION_UP,A
136554400,ACTION_DOWN,T
136554400,ACTION_UP,T
136555152,ACTION_DOWN,M
136555152,ACTION_UP,M
136555824,ACTION_DOWN,A
136555824,ACTION_UP,A
136556496,ACTION_DOWN,N
136556496,ACTION_UP,N
136558336,ACTION_DOWN,B
136558336,ACTION_UP,B
136558976,ACTION_DOWN,A
136558976,ACTION_UP,A
136559536,ACTION_DOWN,T
136559552,ACTION_UP,T
136560336,ACTION_DOWN,M
136560336,ACTION_UP,M
136561056,ACTION_DOWN,A
136561056,ACTION_UP,A
136561776,ACTION_DOWN,N
136561792,ACTION_UP,N
136563600,ACTION_DOWN,B
136563600,ACTION_UP,B
136564336,ACTION_DOWN,A
136564336,ACTION_UP,A
136564976,ACTION_DOWN,T
