timestamp,action,key
236144848,ACTION_DOWN,T
236144864,ACTION_UP,T
236145856,ACTION_DOWN,H
236145872,ACTION_UP,H
236146624,ACTION_DOWN,I
236146640,ACTION_UP,I
236147568,ACTION_DOWN,S
236147584,ACTION_UP,S
236148432,ACTION_DOWN, 
236148432,ACTION_UP, 
236149344,ACTION_DOWN,P
236149344,ACTION_UP,P
236150272,ACTION_DOWN,R
236150272,ACTION_UP,R
236151328,ACTION_DOWN,O
236151344,ACTION_UP,O
236152272,ACTION_DOWN,J
236152272,ACTION_UP,J
236153088,ACTION_DOWN,E
236153104,ACTION_UP,E
236153952,ACTION_DOWN,C
236153952,ACTION_UP,C
236154864,ACTION_DOWN,T
236154864,ACTION_UP,T
236155472,ACTION_DOWN, 
236155472,ACTION_UP, 
236156336,ACTION_DOWN,K
236156336,ACTION_UP,K
236157056,ACTION_DOWN,I
236157072,ACTION_UP,I
236157840,ACTION_DOWN,N
236157856,ACTION_UP,N
236158560,ACTION_DOWN,D
236158576,ACTION_UP,D
236159360,ACTION_DOWN,A
236159360,ACTION_UP,A
236160000,ACTION_DOWN, 
236160016,ACTION_UP, 
236160720,ACTION_DOWN,S
236160720,ACTION_UP,S
236161552,ACTION_DOWN,U
236161568,ACTION_UP,U
236162256,ACTION_DOWN,C
236162272,ACTION_UP,C
236162928,ACTION_DOWN,K
236162944,ACTION_UP,K
236163584,ACTION_DOWN,S
236163616,ACTION_UP,S
