timestamp,action,key
445651936,ACTION_DOWN,W
445651936,ACTION_UP,W
445652640,ACTION_DOWN,H
445652640,ACTION_UP,H
445653216,ACTION_DOWN,A
445653216,ACTION_UP,A
445653760,ACTION_DOWN,T
445653760,ACTION_UP,T
445654912,ACTION_DOWN, 
445654912,ACTION_UP, 
445655424,ACTION_DOWN,I
445655424,ACTION_UP,I
445656000,ACTION_DOWN,S
445656000,ACTION_UP,S
445656768,ACTION_DOWN, 
445656768,ACTION_UP, 
445657344,ACTION_DOWN,Y
445657376,ACTION_UP,Y
445657888,ACTION_DOWN,O
445657888,ACTION_UP,O
445658368,ACTION_DOWN,U
445658368,ACTION_UP,U
445658912,ACTION_DOWN,R
445658912,ACTION_UP,R
445659968,ACTION_DOWN, 
445660000,ACTION_UP, 
445660448,ACTION_DOWN,N
445660448,ACTION_UP,N
445660960,ACTION_DOWN,A
445660960,ACTION_UP,A
445661664,ACTION_DOWN,M
445661664,ACTION_UP,M
445662240,ACTION_DOWN,E
445662240,ACTION_UP,E
445662944,ACTION_DOWN, 
445662976,ACTION_UP, 
445663552,ACTION_DOWN,M
445663552,ACTION_UP,M
445664448,ACTION_DOWN,Y
445664448,ACTION_UP,Y
445665344,ACTION_DOWN, 
445665344,ACTION_UP, 
445665824,ACTION_DOWN,N
445665824,ACTION_UP,N
445666432,ACTION_DOWN,A
445666432,ACTION_UP,A
445667104,ACTION_DOWN,M
445667104,ACTION_UP,M
445667680,ACTION_DOWN,E
445667680,ACTION_UP,E
445668352,ACTION_DOWN, 
445668352,ACTION_UP, 
445668960,ACTION_DOWN,I
445668960,ACTION_UP,I
445669600,ACTION_DOWN,S
445669600,ACTION_UP,S
445670240,ACTION_DOWN, 
445670240,ACTION_UP, 
445670848,ACTION_DOWN,A
445670848,ACTION_UP,A
445671360,ACTION_DOWN,S
445671360,ACTION_UP,S
445671872,ACTION_DOWN,W
445671872,ACTION_UP,W
445672576,ACTION_DOWN,I
445672576,ACTION_UP,I
445673216,ACTION_DOWN,N
445673216,ACTION_UP,N
