timestamp,action,key
495416736,ACTION_DOWN,T
495416736,ACTION_UP,T
495417088,ACTION_DOWN,O
495417088,ACTION_UP,O
495417920,ACTION_DOWN, 
495417920,ACTION_UP, 
495418368,ACTION_DOWN,P
495418368,ACTION_UP,P
495418944,ACTION_DOWN,R
495418944,ACTION_UP,R
495419232,ACTION_DOWN,O
495419232,ACTION_UP,O
495419808,ACTION_DOWN,V
495419808,ACTION_UP,V
495420512,ACTION_DOWN,E
495420512,ACTION_UP,E
495420992,ACTION_DOWN, 
495420992,ACTION_UP, 
495421536,ACTION_DOWN,T
495421536,ACTION_UP,T
495421984,ACTION_DOWN,H
495421984,ACTION_UP,H
495422624,ACTION_DOWN,A
495422624,ACTION_UP,A
495423200,ACTION_DOWN,T
495423200,ACTION_UP,T
495424000,ACTION_DOWN, 
495424000,ACTION_UP, 
495424800,ACTION_DOWN,A
495424800,ACTION_UP,A
495425216,ACTION_DOWN,N
495425216,ACTION_UP,N
495425984,ACTION_DOWN, 
495425984,ACTION_UP, 
495426592,ACTION_DOWN,A
495426592,ACTION_UP,A
495427168,ACTION_DOWN,P
495427168,ACTION_UP,P
495427456,ACTION_DOWN,P
495427456,ACTION_UP,P
495428000,ACTION_DOWN, 
495428000,ACTION_UP, 
495428608,ACTION_DOWN,I
495428608,ACTION_UP,I
495429120,ACTION_DOWN,N
495429120,ACTION_UP,N
495429504,ACTION_DOWN, 
495429504,ACTION_UP, 
495430176,ACTION_DOWN,T
495430176,ACTION_UP,T
495430560,ACTION_DOWN,H
495430560,ACTION_UP,H
495431392,ACTION_DOWN,E
495431392,ACTION_UP,E
495432032,ACTION_DOWN, 
495432032,ACTION_UP, 
495432448,ACTION_DOWN,B
495432448,ACTION_UP,B
495432800,ACTION_DOWN,A
495432800,ACTION_UP,A
495433248,ACTION_DOWN,C
495433248,ACTION_UP,C
495433760,ACTION_DOWN,K
495433760,ACTION_UP,K
495434336,ACTION_DOWN,G
495434336,ACTION_UP,G
495434816,ACTION_DOWN,R
495434816,ACTION_UP,R
495435232,ACTION_DOWN,O
495435232,ACTION_UP,O
495435648,ACTION_DOWN,U
495435648,ACTION_UP,U
495436128,ACTION_DOWN,N
495436128,ACTION_UP,N
495436896,ACTION_DOWN,D
495436896,ACTION_UP,D
495438464,ACTION_DOWN, 
495438464,ACTION_UP, 
495439040,ACTION_DOWN,C
495439040,ACTION_UP,C
495439584,ACTION_DOWN,A
495439584,ACTION_UP,A
495439808,ACTION_DOWN,N
495439808,ACTION_UP,N
495440320,ACTION_DOWN, 
495440320,ACTION_UP, 
495440960,ACTION_DOWN,I
495440960,ACTION_UP,I
495441408,ACTION_DOWN,N
495441408,ACTION_UP,N
495442016,ACTION_DOWN,F
495442016,ACTION_UP,F
495442592,ACTION_DOWN,E
495442592,ACTION_UP,E
495442976,ACTION_DOWN,R
495442976,ACTION_UP,R
495443456,ACTION_DOWN, 
495443456,ACTION_UP, 
495444128,ACTION_DOWN,T
495444128,ACTION_UP,T
495444512,ACTION_DOWN,Y
495444512,ACTION_UP,Y
495445216,ACTION_DOWN,E
495445216,ACTION_UP,E
495445728,ACTION_DOWN, 
495445728,ACTION_UP, 
495446240,ACTION_DOWN,T
495446240,ACTION_UP,T
495446624,ACTION_DOWN,Y
495446624,ACTION_UP,Y
495447168,ACTION_DOWN,P
495447168,ACTION_UP,P
495447712,ACTION_DOWN,E
495447712,ACTION_UP,E
495448192,ACTION_DOWN,D
495448192,ACTION_UP,D
495448800,ACTION_DOWN, 
495448800,ACTION_UP, 
495449344,ACTION_DOWN,I
495449344,ACTION_UP,I
495449728,ACTION_DOWN,N
495449728,ACTION_UP,N
495450336,ACTION_DOWN,F
495450368,ACTION_UP,F
495450688,ACTION_DOWN,O
495450688,ACTION_UP,O
495451392,ACTION_DOWN,R
495451392,ACTION_UP,R
495451712,ACTION_DOWN,K
495451712,ACTION_UP,K
495452256,ACTION_DOWN,A
495452256,ACTION_UP,A
495452704,ACTION_DOWN,T
495452704,ACTION_UP,T
495453152,ACTION_DOWN,I
495453152,ACTION_UP,I
495453504,ACTION_DOWN,O
495453504,ACTION_UP,O
495453984,ACTION_DOWN,N
495453984,ACTION_UP,N
495454400,ACTION_DOWN, 
495454400,ACTION_UP, 
495454912,ACTION_DOWN,I
495454912,ACTION_UP,I
495455488,ACTION_DOWN,N
495455488,ACTION_UP,N
495456096,ACTION_DOWN, 
495456096,ACTION_UP, 
495456576,ACTION_DOWN,A
495456576,ACTION_UP,A
495456864,ACTION_DOWN,N
495456864,ACTION_UP,N
495457344,ACTION_DOWN,O
495457344,ACTION_UP,O
495457920,ACTION_DOWN,T
495457920,ACTION_UP,T
495458432,ACTION_DOWN,H
495458432,ACTION_UP,H
495458880,ACTION_DOWN,E
495458880,ACTION_UP,E
495459328,ACTION_DOWN,R
495459328,ACTION_UP,R
495459840,ACTION_DOWN, 
495459840,ACTION_UP, 
495460288,ACTION_DOWN,A
495460288,ACTION_UP,A
495460704,ACTION_DOWN,P
495460736,ACTION_UP,P
495461056,ACTION_DOWN,P
495461056,ACTION_UP,P
