timestamp,action,key
503649216,ACTION_DOWN,T
503649216,ACTION_UP,T
503649920,ACTION_DOWN,H
503649920,ACTION_UP,H
503650752,ACTION_DOWN,E
503650752,ACTION_UP,E
503652320,ACTION_DOWN,O
503652320,ACTION_UP,O
503653216,ACTION_DOWN,N
503653216,ACTION_UP,N
503654208,ACTION_DOWN,E
503654208,ACTION_UP,E
503655008,ACTION_DOWN, 
503655008,ACTION_UP, 
503655872,ACTION_DOWN,W
503655872,ACTION_UP,W
503657120,ACTION_DOWN,H
503657120,ACTION_UP,H
503657920,ACTION_DOWN,O
503657920,ACTION_UP,O
503658976,ACTION_DOWN, 
503658976,ACTION_UP, 
503660224,ACTION_DOWN,R
503660224,ACTION_UP,R
503661024,ACTION_DOWN,U
503661024,ACTION_UP,U
503661664,ACTION_DOWN,L
503661664,ACTION_UP,L
503662688,ACTION_DOWN,E
503662688,ACTION_UP,E
503663776,ACTION_DOWN,S
503663776,ACTION_UP,S
503664480,ACTION_DOWN, 
503664480,ACTION_UP, 
503665536,ACTION_DOWN,T
503665536,ACTION_UP,T
503666400,ACTION_DOWN,H
503666400,ACTION_UP,H
503667040,ACTION_DOWN,E
503667040,ACTION_UP,E
503667840,ACTION_DOWN, 
503667840,ACTION_UP, 
503668544,ACTION_DOWN,C
503668544,ACTION_UP,C
503669120,ACTION_DOWN,O
503669120,ACTION_UP,O
503669664,ACTION_DOWN,M
503669664,ACTION_UP,M
503670304,ACTION_DOWN,P
503670304,ACTION_UP,P
503671072,ACTION_DOWN,U
503671072,ACTION_UP,U
503671744,ACTION_DOWN,T
503671744,ACTION_UP,T
503672512,ACTION_DOWN,E
503672512,ACTION_UP,E
503673216,ACTION_DOWN,R
503673216,ACTION_UP,R
503673824,ACTION_DOWN, 
503673824,ACTION_UP, 
503674752,ACTION_DOWN,R
503674752,ACTION_UP,R
503675456,ACTION_DOWN,U
503675456,ACTION_UP,U
503676064,ACTION_DOWN,L
503676064,ACTION_UP,L
503676960,ACTION_DOWN,E
503676960,ACTION_UP,E
503677504,ACTION_DOWN,S
503677504,ACTION_UP,S
503678048,ACTION_DOWN, 
503678048,ACTION_UP, 
503678560,ACTION_DOWN,T
503678560,ACTION_UP,T
503679168,ACTION_DOWN,H
503679168,ACTION_UP,H
503679808,ACTION_DOWN,E
503679808,ACTION_UP,E
503680352,ACTION_DOWN, 
503680352,ACTION_UP, 
503680864,ACTION_DOWN,W
503680864,ACTION_UP,W
503681472,ACTION_DOWN,O
503681472,ACTION_UP,O
503681856,ACTION_DOWN,L
503681856,ACTION_UP,L
503684064,ACTION_DOWN,L
503684064,ACTION_UP,L
503684576,ACTION_DOWN,D
503684576,ACTION_UP,D
