timestamp,action,key
510123744,ACTION_DOWN,H
510123744,ACTION_UP,H
510124224,ACTION_DOWN,I
510124224,ACTION_UP,I
510125120,ACTION_DOWN, 
510125120,ACTION_UP, 
510125792,ACTION_DOWN,J
510125792,ACTION_UP,J
510126432,ACTION_DOWN,U
510126432,ACTION_UP,U
510127040,ACTION_DOWN,N
510127040,ACTION_UP,N
510127872,ACTION_DOWN,E
510127872,ACTION_UP,E
510128960,ACTION_DOWN, 
510128960,ACTION_UP, 
510129792,ACTION_DOWN,C
510129792,ACTION_UP,C
510130592,ACTION_DOWN,A
510130592,ACTION_UP,A
510131264,ACTION_DOWN,N
510131264,ACTION_UP,N
510132096,ACTION_DOWN,U
510132096,ACTION_UP,U
510132800,ACTION_DOWN, 
510132800,ACTION_UP, 
510133824,ACTION_DOWN,P
510133824,ACTION_UP,P
510135008,ACTION_DOWN,L
510135008,ACTION_UP,L
510135648,ACTION_DOWN,E
510135648,ACTION_UP,E
510136192,ACTION_DOWN,A
510136192,ACTION_UP,A
510136864,ACTION_DOWN,S
510136864,ACTION_UP,S
510137728,ACTION_DOWN,E
510137728,ACTION_UP,E
510138688,ACTION_DOWN, 
510138688,ACTION_UP, 
510139648,ACTION_DOWN,O
510139648,ACTION_UP,O
510140384,ACTION_DOWN,P
510140384,ACTION_UP,P
510141024,ACTION_DOWN,E
510141024,ACTION_UP,E
510141792,ACTION_DOWN,N
510141792,ACTION_UP,N
510142592,ACTION_DOWN, 
510142592,ACTION_UP, 
510143296,ACTION_DOWN,T
510143296,ACTION_UP,T
510143968,ACTION_DOWN,H
510143968,ACTION_UP,H
510144608,ACTION_DOWN,E
510144608,ACTION_UP,E
510145280,ACTION_DOWN, 
510145280,ACTION_UP, 
510145888,ACTION_DOWN,C
510145888,ACTION_UP,C
510146560,ACTION_DOWN,A
510146560,ACTION_UP,A
510147072,ACTION_DOWN,R
510147072,ACTION_UP,R
510147776,ACTION_DOWN,S
510147776,ACTION_UP,S
510148384,ACTION_DOWN, 
510148384,ACTION_UP, 
510149024,ACTION_DOWN,D
510149024,ACTION_UP,D
510149696,ACTION_DOWN,O
510149696,ACTION_UP,O
510150144,ACTION_DOWN,O
510150144,ACTION_UP,O
510150848,ACTION_DOWN,R
510150848,ACTION_UP,R
510151488,ACTION_DOWN, 
510151488,ACTION_UP, 
510152064,ACTION_DOWN,S
510152064,ACTION_UP,S
510152800,ACTION_DOWN,O
510152800,ACTION_UP,O
510153504,ACTION_DOWN, 
510153504,ACTION_UP, 
510154176,ACTION_DOWN,T
510154176,ACTION_UP,T
510154752,ACTION_DOWN,H
510154752,ACTION_UP,H
510155456,ACTION_DOWN,A
510155456,ACTION_UP,A
510156000,ACTION_DOWN,T
510156000,ACTION_UP,T
510156672,ACTION_DOWN, 
510156672,ACTION_UP, 
510157280,ACTION_DOWN,I
510157280,ACTION_UP,I
510157984,ACTION_DOWN, 
510157984,ACTION_UP, 
510158432,ACTION_DOWN,C
510158432,ACTION_UP,C
510159136,ACTION_DOWN,A
510159136,ACTION_UP,A
510159744,ACTION_DOWN,N
510159744,ACTION_UP,N
510160384,ACTION_DOWN, 
510160384,ACTION_UP, 
510161024,ACTION_DOWN,H
510161024,ACTION_UP,H
510161568,ACTION_DOWN,E
510161568,ACTION_UP,E
510162176,ACTION_DOWN,L
510162176,ACTION_UP,L
510162752,ACTION_DOWN,P
510162752,ACTION_UP,P
510163456,ACTION_DOWN, 
510163456,ACTION_UP, 
510164640,ACTION_DOWN,Y
510164640,ACTION_UP,Y
510165216,ACTION_DOWN,O
510165216,ACTION_UP,O
510165824,ACTION_DOWN,U
510165824,ACTION_UP,U
