timestamp,action,key
436601376,ACTION_DOWN,C
436601376,ACTION_UP,C
436601760,ACTION_DOWN,H
436601760,ACTION_UP,H
436602240,ACTION_DOWN,E
436602240,ACTION_UP,E
436602432,ACTION_DOWN,E
436602432,ACTION_UP,E
436602752,ACTION_DOWN,T
436602752,ACTION_UP,T
436603168,ACTION_DOWN,A
436603168,ACTION_UP,A
436603648,ACTION_DOWN,H
436603648,ACTION_UP,H
436604160,ACTION_DOWN, 
436604160,ACTION_UP, 
436605504,ACTION_DOWN,M
436605504,ACTION_UP,M
436605888,ACTION_DOWN,O
436605920,ACTION_UP,O
436606336,ACTION_DOWN,B
436606336,ACTION_UP,B
436606688,ACTION_DOWN,I
436606688,ACTION_UP,I
436606944,ACTION_DOWN,L
436606976,ACTION_UP,L
436607424,ACTION_DOWN,E
436607424,ACTION_UP,E
436608736,ACTION_DOWN, 
436608736,ACTION_UP, 
436609120,ACTION_DOWN,A
436609120,ACTION_UP,A
436609568,ACTION_DOWN, 
436609568,ACTION_UP, 
436609888,ACTION_DOWN,C
436609888,ACTION_UP,C
436610272,ACTION_DOWN,H
436610272,ACTION_UP,H
436610592,ACTION_DOWN,I
436610592,ACTION_UP,I
436611008,ACTION_DOWN,N
436611008,ACTION_UP,N
436611456,ACTION_DOWN,E
436611456,ACTION_UP,E
436611680,ACTION_DOWN,S
436611680,ACTION_UP,S
436611936,ACTION_DOWN,E
436611936,ACTION_UP,E
436613024,ACTION_DOWN, 
436613024,ACTION_UP, 
436613344,ACTION_DOWN,A
436613344,ACTION_UP,A
436613888,ACTION_DOWN,P
436613888,ACTION_UP,P
436614048,ACTION_DOWN,P
436614048,ACTION_UP,P
436614528,ACTION_DOWN, 
436614528,ACTION_UP, 
436614816,ACTION_DOWN,C
436614816,ACTION_UP,C
436615392,ACTION_DOWN,O
436615392,ACTION_UP,O
436615776,ACTION_DOWN,M
436615776,ACTION_UP,M
436616160,ACTION_DOWN,P
436616160,ACTION_UP,P
436616640,ACTION_DOWN,A
436616640,ACTION_UP,A
436617280,ACTION_DOWN,N
436617280,ACTION_UP,N
436617728,ACTION_DOWN,Y
436617728,ACTION_UP,Y
436619104,ACTION_DOWN, 
436619104,ACTION_UP, 
436619552,ACTION_DOWN,K
436619552,ACTION_UP,K
436619936,ACTION_DOWN,N
436619936,ACTION_UP,N
436620224,ACTION_DOWN,O
436620224,ACTION_UP,O
436620800,ACTION_DOWN,W
436620800,ACTION_UP,W
436621536,ACTION_DOWN,N
436621536,ACTION_UP,N
436623072,ACTION_DOWN, 
436623072,ACTION_UP, 
436623488,ACTION_DOWN,F
436623488,ACTION_UP,F
436623936,ACTION_DOWN,O
436623936,ACTION_UP,O
436624320,ACTION_DOWN,R
436624320,ACTION_UP,R
436625536,ACTION_DOWN, 
436625536,ACTION_UP, 
436626016,ACTION_DOWN,I
436626016,ACTION_UP,I
436626400,ACTION_DOWN,T
436626400,ACTION_UP,T
436626752,ACTION_DOWN,S
436626752,ACTION_UP,S
436627168,ACTION_DOWN, 
436627168,ACTION_UP, 
436627648,ACTION_DOWN,P
436627648,ACTION_UP,P
436627872,ACTION_DOWN,O
436627872,ACTION_UP,O
436628160,ACTION_DOWN,P
436628160,ACTION_UP,P
436629024,ACTION_DOWN,U
436629024,ACTION_UP,U
436629376,ACTION_DOWN,L
436629376,ACTION_UP,L
436629888,ACTION_DOWN,A
436629888,ACTION_UP,A
436630304,ACTION_DOWN,R
436630304,ACTION_UP,R
436631776,ACTION_DOWN, 
436631776,ACTION_UP, 
436632224,ACTION_DOWN,A
436632224,ACTION_UP,A
436632704,ACTION_DOWN,P
436632704,ACTION_UP,P
436632896,ACTION_DOWN,P
436632896,ACTION_UP,P
436633600,ACTION_DOWN,S
436633600,ACTION_UP,S
436634112,ACTION_DOWN, 
436634112,ACTION_UP, 
436634656,ACTION_DOWN,L
436634656,ACTION_UP,L
436634976,ACTION_DOWN,I
436634976,ACTION_UP,I
436635232,ACTION_DOWN,K
436635232,ACTION_UP,K
436635744,ACTION_DOWN,E
436635744,ACTION_UP,E
436637056,ACTION_DOWN, 
436637056,ACTION_UP, 
436637376,ACTION_DOWN,C
436637376,ACTION_UP,C
436637856,ACTION_DOWN,L
436637856,ACTION_UP,L
436638304,ACTION_DOWN,E
436638304,ACTION_UP,E
436638592,ACTION_DOWN,A
436638592,ACTION_UP,A
436639104,ACTION_DOWN,N
436639104,ACTION_UP,N
436639424,ACTION_DOWN, 
436639424,ACTION_UP, 
436639808,ACTION_DOWN,M
436639808,ACTION_UP,M
