timestamp,action,key
510416000,ACTION_DOWN,E
510416000,ACTION_UP,E
510416640,ACTION_DOWN,V
510416640,ACTION_UP,V
510417344,ACTION_DOWN,E
510417344,ACTION_UP,E
510417984,ACTION_DOWN,R
510417984,ACTION_UP,R
510418592,ACTION_DOWN,Y
510418592,ACTION_UP,Y
510419392,ACTION_DOWN,O
510419392,ACTION_UP,O
510420128,ACTION_DOWN,N
510420128,ACTION_UP,N
510420832,ACTION_DOWN,E
510420832,ACTION_UP,E
510421472,ACTION_DOWN, 
510421472,ACTION_UP, 
510422208,ACTION_DOWN,I
510422208,ACTION_UP,I
510422880,ACTION_DOWN,N
510422880,ACTION_UP,N
510423552,ACTION_DOWN, 
510423552,ACTION_UP, 
510424224,ACTION_DOWN,T
510424224,ACTION_UP,T
510424832,ACTION_DOWN,H
510424832,ACTION_UP,H
510425408,ACTION_DOWN,I
510425408,ACTION_UP,I
510426208,ACTION_DOWN,S
510426208,ACTION_UP,S
510427008,ACTION_DOWN, 
510427008,ACTION_UP, 
510427712,ACTION_DOWN,W
510427712,ACTION_UP,W
510428384,ACTION_DOWN,O
510428384,ACTION_UP,O
510428992,ACTION_DOWN,R
510428992,ACTION_UP,R
510429664,ACTION_DOWN,L
510429664,ACTION_UP,L
510430336,ACTION_DOWN,D
510430336,ACTION_UP,D
510431168,ACTION_DOWN, 
510431168,ACTION_UP, 
510431808,ACTION_DOWN,M
510431808,ACTION_UP,M
510432544,ACTION_DOWN,U
510432544,ACTION_UP,U
510433312,ACTION_DOWN,S
510433312,ACTION_UP,S
510434080,ACTION_DOWN,T
510434080,ACTION_UP,T
510434720,ACTION_DOWN, 
510434720,ACTION_UP, 
510435392,ACTION_DOWN,T
510435392,ACTION_UP,T
510436128,ACTION_DOWN,R
510436128,ACTION_UP,R
510436832,ACTION_DOWN,Y
510436832,ACTION_UP,Y
510437504,ACTION_DOWN, 
510437504,ACTION_UP, 
510438208,ACTION_DOWN,T
510438208,ACTION_UP,T
510438848,ACTION_DOWN,O
510438848,ACTION_UP,O
510439488,ACTION_DOWN, 
510439488,ACTION_UP, 
510440064,ACTION_DOWN,H
510440064,ACTION_UP,H
510440768,ACTION_DOWN,E
510440768,ACTION_UP,E
510441408,ACTION_DOWN,L
510441408,ACTION_UP,L
510441984,ACTION_DOWN,P
510441984,ACTION_UP,P
510442784,ACTION_DOWN, 
510442784,ACTION_UP, 
510443456,ACTION_DOWN,O
510443456,ACTION_UP,O
510444160,ACTION_DOWN,T
510444192,ACTION_UP,T
510444736,ACTION_DOWN,H
510444736,ACTION_UP,H
510445472,ACTION_DOWN,E
510445472,ACTION_UP,E
510446144,ACTION_DOWN,R
510446144,ACTION_UP,R
510446848,ACTION_DOWN,S
510446848,ACTION_UP,S
510447520,ACTION_DOWN, 
510447520,ACTION_UP, 
510448160,ACTION_DOWN,A
510448160,ACTION_UP,A
510448800,ACTION_DOWN,S
510448800,ACTION_UP,S
510449504,ACTION_DOWN, 
510449504,ACTION_UP, 
510450112,ACTION_DOWN,M
510450112,ACTION_UP,M
510450784,ACTION_DOWN,U
510450784,ACTION_UP,U
510451488,ACTION_DOWN,C
510451488,ACTION_UP,C
510452128,ACTION_DOWN,H
510452128,ACTION_UP,H
510452736,ACTION_DOWN, 
510452736,ACTION_UP, 
510453376,ACTION_DOWN,A
510453376,ACTION_UP,A
510454080,ACTION_DOWN,S
510454080,ACTION_UP,S
510454720,ACTION_DOWN, 
510454720,ACTION_UP, 
510455296,ACTION_DOWN,T
510455296,ACTION_UP,T
510455840,ACTION_DOWN,H
510455840,ACTION_UP,H
510456480,ACTION_DOWN,E
510456480,ACTION_UP,E
510457184,ACTION_DOWN,Y
510457184,ACTION_UP,Y
510457888,ACTION_DOWN, 
510457888,ACTION_UP, 
510458464,ACTION_DOWN,C
510458464,ACTION_UP,C
510459040,ACTION_DOWN,A
510459040,ACTION_UP,A
510459712,ACTION_DOWN,N
510459712,ACTION_UP,N
