timestamp,action,key
445714752,ACTION_DOWN,W
445714784,ACTION_UP,W
445715392,ACTION_DOWN,H
445715392,ACTION_UP,H
445715904,ACTION_DOWN,A
445715904,ACTION_UP,A
445716352,ACTION_DOWN,T
445716352,ACTION_UP,T
445717056,ACTION_DOWN, 
445717056,ACTION_UP, 
445717568,ACTION_DOWN,I
445717568,ACTION_UP,I
445718208,ACTION_DOWN,S
445718208,ACTION_UP,S
445718816,ACTION_DOWN, 
445718816,ACTION_UP, 
445719360,ACTION_DOWN,Y
445719360,ACTION_UP,Y
445719872,ACTION_DOWN,O
445719872,ACTION_UP,O
445721056,ACTION_DOWN,U
445721056,ACTION_UP,U
445721600,ACTION_DOWN,R
445721600,ACTION_UP,R
445722336,ACTION_DOWN, 
445722336,ACTION_UP, 
445723040,ACTION_DOWN,N
445723040,ACTION_UP,N
445723584,ACTION_DOWN,A
445723616,ACTION_UP,A
445724256,ACTION_DOWN,M
445724256,ACTION_UP,M
445724896,ACTION_DOWN,E
445724896,ACTION_UP,E
445725536,ACTION_DOWN, 
445725536,ACTION_UP, 
445726080,ACTION_DOWN,M
445726080,ACTION_UP,M
445726624,ACTION_DOWN,Y
445726624,ACTION_UP,Y
445727232,ACTION_DOWN, 
445727232,ACTION_UP, 
445727680,ACTION_DOWN,N
445727680,ACTION_UP,N
445728256,ACTION_DOWN,A
445728256,ACTION_UP,A
445729088,ACTION_DOWN,M
445729088,ACTION_UP,M
445729632,ACTION_DOWN,E
445729632,ACTION_UP,E
445730208,ACTION_DOWN, 
445730208,ACTION_UP, 
445730720,ACTION_DOWN,I
445730720,ACTION_UP,I
445731328,ACTION_DOWN,S
445731328,ACTION_UP,S
445731840,ACTION_DOWN, 
445731840,ACTION_UP, 
445732384,ACTION_DOWN,A
445732384,ACTION_UP,A
445732864,ACTION_DOWN,S
445732864,ACTION_UP,S
445733312,ACTION_DOWN,W
445733312,ACTION_UP,W
445734048,ACTION_DOWN,I
445734048,ACTION_UP,I
445734720,ACTION_DOWN,N
445734720,ACTION_UP,N
