timestamp,action,key
235952960,ACTION_DOWN,I
235952976,ACTION_UP,I
235954256,ACTION_DOWN,T
235954272,ACTION_UP,T
235955328,ACTION_DOWN, 
235955328,ACTION_UP, 
235956176,ACTION_DOWN,I
235956192,ACTION_UP,I
235957280,ACTION_DOWN,S
235957280,ACTION_UP,S
235958048,ACTION_DOWN, 
235958064,ACTION_UP, 
235958736,ACTION_DOWN,N
235958752,ACTION_UP,N
235959408,ACTION_DOWN,O
235959424,ACTION_UP,O
235960320,ACTION_DOWN,T
235960336,ACTION_UP,T
235961616,ACTION_DOWN, 
235961632,ACTION_UP, 
235962368,ACTION_DOWN,W
235962384,ACTION_UP,W
235963024,ACTION_DOWN,H
235963040,ACTION_UP,H
235963760,ACTION_DOWN,O
235963760,ACTION_UP,O
235965232,ACTION_DOWN, 
235965232,ACTION_UP, 
235965936,ACTION_DOWN,I
235965952,ACTION_UP,I
235967648,ACTION_DOWN, 
235967648,ACTION_UP, 
235968368,ACTION_DOWN,A
235968368,ACTION_UP,A
235968944,ACTION_DOWN,M
235968944,ACTION_UP,M
235970336,ACTION_DOWN, 
235970352,ACTION_UP, 
235971328,ACTION_DOWN,I
235971344,ACTION_UP,I
235971904,ACTION_DOWN,T
235971904,ACTION_UP,T
235972496,ACTION_DOWN, 
235972496,ACTION_UP, 
235973488,ACTION_DOWN,I
235973504,ACTION_UP,I
235974240,ACTION_DOWN,S
235974256,ACTION_UP,S
235975216,ACTION_DOWN, 
235975232,ACTION_UP, 
235976192,ACTION_DOWN,W
235976192,ACTION_UP,W
235976832,ACTION_DOWN,H
235976832,ACTION_UP,H
235977712,ACTION_DOWN,A
235977728,ACTION_UP,A
235978400,ACTION_DOWN,T
235978400,ACTION_UP,T
235979200,ACTION_DOWN, 
235979200,ACTION_UP, 
235979856,ACTION_DOWN,I
235979888,ACTION_UP,I
235980544,ACTION_DOWN, 
235980576,ACTION_UP, 
235981168,ACTION_DOWN,C
235981168,ACTION_UP,C
235981728,ACTION_DOWN,O
235981744,ACTION_UP,O
235982352,ACTION_DOWN,D
235982368,ACTION_UP,D
235983008,ACTION_DOWN,E
235983008,ACTION_UP,E
235983744,ACTION_DOWN, 
235983760,ACTION_UP, 
235984640,ACTION_DOWN,T
235984640,ACTION_UP,T
235985280,ACTION_DOWN,H
235985296,ACTION_UP,H
235985968,ACTION_DOWN,A
235985984,ACTION_UP,A
235986672,ACTION_DOWN,T
235986688,ACTION_UP,T
235987504,ACTION_DOWN, 
235987504,ACTION_UP, 
235988288,ACTION_DOWN,D
235988288,ACTION_UP,D
235989024,ACTION_DOWN,E
235989040,ACTION_UP,E
235989680,ACTION_DOWN,F
235989680,ACTION_UP,F
235990528,ACTION_DOWN,I
235990544,ACTION_UP,I
235991152,ACTION_DOWN,N
235991168,ACTION_UP,N
235991984,ACTION_DOWN,E
235992000,ACTION_UP,E
235992736,ACTION_DOWN,S
235992752,ACTION_UP,S
235993440,ACTION_DOWN, 
235993456,ACTION_UP, 
235994000,ACTION_DOWN,M
235994016,ACTION_UP,M
235994784,ACTION_DOWN,E
235994800,ACTION_UP,E
