timestamp,action,key
510191744,ACTION_DOWN,H
510191744,ACTION_UP,H
510192256,ACTION_DOWN,I
510192256,ACTION_UP,I
510193056,ACTION_DOWN, 
510193056,ACTION_UP, 
510193664,ACTION_DOWN,J
510193664,ACTION_UP,J
510194272,ACTION_DOWN,U
510194272,ACTION_UP,U
510194816,ACTION_DOWN,N
510194816,ACTION_UP,N
510195616,ACTION_DOWN,E
510195616,ACTION_UP,E
510196448,ACTION_DOWN, 
510196448,ACTION_UP, 
510197056,ACTION_DOWN,C
510197056,ACTION_UP,C
510197664,ACTION_DOWN,A
510197664,ACTION_UP,A
510198304,ACTION_DOWN,N
510198304,ACTION_UP,N
510199072,ACTION_DOWN, 
510199072,ACTION_UP, 
510199840,ACTION_DOWN,U
510199840,ACTION_UP,U
510200512,ACTION_DOWN, 
510200512,ACTION_UP, 
510201120,ACTION_DOWN,P
510201120,ACTION_UP,P
510201568,ACTION_DOWN,L
510201568,ACTION_UP,L
510202400,ACTION_DOWN,E
510202400,ACTION_UP,E
510202944,ACTION_DOWN,A
510202944,ACTION_UP,A
510203680,ACTION_DOWN,S
510203680,ACTION_UP,S
510204256,ACTION_DOWN,E
510204256,ACTION_UP,E
510204928,ACTION_DOWN, 
510204928,ACTION_UP, 
510205696,ACTION_DOWN,O
510205696,ACTION_UP,O
510206304,ACTION_DOWN,P
510206304,ACTION_UP,P
510206944,ACTION_DOWN,E
510206944,ACTION_UP,E
510207680,ACTION_DOWN,N
510207680,ACTION_UP,N
510208352,ACTION_DOWN, 
510208352,ACTION_UP, 
510208960,ACTION_DOWN,T
510208960,ACTION_UP,T
510209600,ACTION_DOWN,H
510209600,ACTION_UP,H
510210304,ACTION_DOWN,E
510210304,ACTION_UP,E
510210912,ACTION_DOWN, 
510210912,ACTION_UP, 
510211552,ACTION_DOWN,C
510211552,ACTION_UP,C
510212224,ACTION_DOWN,A
510212224,ACTION_UP,A
510212768,ACTION_DOWN,R
510212768,ACTION_UP,R
510213440,ACTION_DOWN,S
510213440,ACTION_UP,S
510214240,ACTION_DOWN, 
510214240,ACTION_UP, 
510214848,ACTION_DOWN,D
510214848,ACTION_UP,D
510215616,ACTION_DOWN,O
510215648,ACTION_UP,O
510216064,ACTION_DOWN,O
510216064,ACTION_UP,O
510216736,ACTION_DOWN,R
510216736,ACTION_UP,R
510217440,ACTION_DOWN, 
510217440,ACTION_UP, 
510218176,ACTION_DOWN,S
510218176,ACTION_UP,S
510218880,ACTION_DOWN,O
510218880,ACTION_UP,O
510219456,ACTION_DOWN, 
510219456,ACTION_UP, 
510220000,ACTION_DOWN,T
510220000,ACTION_UP,T
510220672,ACTION_DOWN,H
510220672,ACTION_UP,H
510221312,ACTION_DOWN,A
510221312,ACTION_UP,A
510221984,ACTION_DOWN,T
510221984,ACTION_UP,T
510222560,ACTION_DOWN, 
510222560,ACTION_UP, 
510223200,ACTION_DOWN,I
510223200,ACTION_UP,I
510223872,ACTION_DOWN, 
510223872,ACTION_UP, 
510224576,ACTION_DOWN,C
510224576,ACTION_UP,C
510225280,ACTION_DOWN,A
510225280,ACTION_UP,A
510225920,ACTION_DOWN,N
510225920,ACTION_UP,N
510226496,ACTION_DOWN, 
510226496,ACTION_UP, 
510227072,ACTION_DOWN,H
510227072,ACTION_UP,H
510227648,ACTION_DOWN,E
510227648,ACTION_UP,E
510228320,ACTION_DOWN,L
510228320,ACTION_UP,L
510228896,ACTION_DOWN,P
510228896,ACTION_UP,P
510229536,ACTION_DOWN, 
510229536,ACTION_UP, 
510230560,ACTION_DOWN,Y
510230560,ACTION_UP,Y
510231168,ACTION_DOWN,O
510231168,ACTION_UP,O
510231776,ACTION_DOWN,U
510231776,ACTION_UP,U
