timestamp,action,key
327809504,ACTION_DOWN,C
327809504,ACTION_UP,C
327810272,ACTION_DOWN,Y
327810272,ACTION_UP,Y
327810784,ACTION_DOWN,B
327810784,ACTION_UP,B
327811488,ACTION_DOWN,E
327811488,ACTION_UP,E
327812192,ACTION_DOWN,R
327812192,ACTION_UP,R
327813600,ACTION_DOWN,C
327813600,ACTION_UP,C
327814656,ACTION_DOWN,Y
327814656,ACTION_UP,Y
327815392,ACTION_DOWN,B
327815392,ACTION_UP,B
327816192,ACTION_DOWN,E
327816192,ACTION_UP,E
327816928,ACTION_DOWN,R
327816928,ACTION_UP,R
327818240,ACTION_DOWN,C
327818240,ACTION_UP,C
327818976,ACTION_DOWN,Y
327818976,ACTION_UP,Y
327819552,ACTION_DOWN,B
327819552,ACTION_UP,B
327820352,ACTION_DOWN,E
327820352,ACTION_UP,E
327820800,ACTION_DOWN,R
327820800,ACTION_UP,R
327822208,ACTION_DOWN,C
327822208,ACTION_UP,C
327822816,ACTION_DOWN,Y
327822816,ACTION_UP,Y
327823264,ACTION_DOWN,B
327823264,ACTION_UP,B
327823872,ACTION_DOWN,E
327823872,ACTION_UP,E
327824256,ACTION_DOWN,R
327824256,ACTION_UP,R
327825856,ACTION_DOWN,C
327825856,ACTION_UP,C
327826752,ACTION_DOWN,Y
327826752,ACTION_UP,Y
327827424,ACTION_DOWN,B
327827424,ACTION_UP,B
327828064,ACTION_DOWN,E
327828064,ACTION_UP,E
327828768,ACTION_DOWN,R
327828768,ACTION_UP,R
327830464,ACTION_DOWN,C
327830464,ACTION_UP,C
327831136,ACTION_DOWN,Y
327831136,ACTION_UP,Y
327831616,ACTION_DOWN,B
327831616,ACTION_UP,B
327832448,ACTION_DOWN,E
327832448,ACTION_UP,E
327833120,ACTION_DOWN,R
327833120,ACTION_UP,R
327834688,ACTION_DOWN,C
327834688,ACTION_UP,C
327835328,ACTION_DOWN,Y
327835328,ACTION_UP,Y
327835904,ACTION_DOWN,B
327835904,ACTION_UP,B
327836640,ACTION_DOWN,E
327836640,ACTION_UP,E
327837280,ACTION_DOWN,R
327837280,ACTION_UP,R
327838848,ACTION_DOWN,C
327838848,ACTION_UP,C
327839616,ACTION_DOWN,Y
327839616,ACTION_UP,Y
327840224,ACTION_DOWN,B
327840224,ACTION_UP,B
327841024,ACTION_DOWN,E
327841024,ACTION_UP,E
327841696,ACTION_DOWN,R
327841696,ACTION_UP,R
327843616,ACTION_DOWN,C
327843616,ACTION_UP,C
327844160,ACTION_DOWN,Y
327844160,ACTION_UP,Y
327844576,ACTION_DOWN,B
327844576,ACTION_UP,B
327845280,ACTION_DOWN,E
327845280,ACTION_UP,E
327845792,ACTION_DOWN,R
327845792,ACTION_UP,R
327847744,ACTION_DOWN,C
327847744,ACTION_UP,C
327848416,ACTION_DOWN,Y
327848416,ACTION_UP,Y
327849056,ACTION_DOWN,B
327849056,ACTION_UP,B
327849824,ACTION_DOWN,E
327849824,ACTION_UP,E
327850432,ACTION_DOWN,R
327850432,ACTION_UP,R
327852416,ACTION_DOWN,C
327852416,ACTION_UP,C
327853120,ACTION_DOWN,Y
327853120,ACTION_UP,Y
327853632,ACTION_DOWN,B
327853632,ACTION_UP,B
327854368,ACTION_DOWN,E
327854368,ACTION_UP,E
327855008,ACTION_DOWN,R
327855008,ACTION_UP,R
327856608,ACTION_DOWN,C
327856640,ACTION_UP,C
327857376,ACTION_DOWN,Y
327857376,ACTION_UP,Y
327858080,ACTION_DOWN,B
327858080,ACTION_UP,B
327858816,ACTION_DOWN,E
327858816,ACTION_UP,E
327859392,ACTION_DOWN,R
327859392,ACTION_UP,R
327861024,ACTION_DOWN,C
327861024,ACTION_UP,C
327861536,ACTION_DOWN,Y
327861536,ACTION_UP,Y
327861920,ACTION_DOWN,B
327861920,ACTION_UP,B
327862624,ACTION_DOWN,E
327862624,ACTION_UP,E
327863104,ACTION_DOWN,R
327863104,ACTION_UP,R
327864832,ACTION_DOWN,C
327864832,ACTION_UP,C
327865440,ACTION_DOWN,Y
327865504,ACTION_UP,Y
327865920,ACTION_DOWN,B
327865920,ACTION_UP,B
327866560,ACTION_DOWN,E
327866560,ACTION_UP,E
327867104,ACTION_DOWN,R
327867104,ACTION_UP,R
327868800,ACTION_DOWN,C
327868800,ACTION_UP,C
327869408,ACTION_DOWN,Y
327869408,ACTION_UP,Y
327869856,ACTION_DOWN,B
327869856,ACTION_UP,B
327870464,ACTION_DOWN,E
327870464,ACTION_UP,E
327870816,ACTION_DOWN,R
327870816,ACTION_UP,R
327872544,ACTION_DOWN,C
327872544,ACTION_UP,C
327873152,ACTION_DOWN,Y
327873152,ACTION_UP,Y
327873536,ACTION_DOWN,B
327873536,ACTION_UP,B
327874272,ACTION_DOWN,E
327874272,ACTION_UP,E
327874720,ACTION_DOWN,R
327874720,ACTION_UP,R
327876352,ACTION_DOWN,C
327876352,ACTION_UP,C
327877056,ACTION_DOWN,Y
327877056,ACTION_UP,Y
327877440,ACTION_DOWN,B
327877472,ACTION_UP,B
327878080,ACTION_DOWN,E
327878080,ACTION_UP,E
327878496,ACTION_DOWN,R
327878496,ACTION_UP,R
327880032,ACTION_DOWN,C
327880032,ACTION_UP,C
327880640,ACTION_DOWN,Y
327880640,ACTION_UP,Y
327881344,ACTION_DOWN,B
327881344,ACTION_UP,B
