timestamp,sensor,x,y,z
495414944,Accelerometer,-1.2497733,4.5058875,9.208099
495414976,Accelerometer,-1.4460979,4.525041,9.016563
495414976,Gyroscope,-0.1747087,-0.70203066,-0.15020686
495414976,Accelerometer,-1.3599066,4.793192,8.145074
495414976,Gyroscope,-0.23756121,-0.91828597,-0.1043991
495415008,Accelerometer,-0.7661445,4.501099,7.905654
495415008,Gyroscope,-0.39735577,-0.98753023,-0.031958908
495415040,Accelerometer,-0.7230489,4.1659107,8.1163435
495415040,Gyroscope,-0.5443667,-0.9289389,-0.06604841
495415040,Accelerometer,-0.6799533,4.3143516,8.614338
495415040,Gyroscope,-0.68605125,-1.0269462,-0.089484945
495415072,Accelerometer,-0.7326257,4.189853,9.054871
495415072,Gyroscope,-0.70629185,-0.85543346,-0.088419646
495415072,Accelerometer,-0.51714754,3.8594532,9.514558
495415072,Gyroscope,-0.595501,-0.5859133,-0.054330144
495415104,Accelerometer,-0.4309563,4.0701427,8.872911
495415104,Gyroscope,-0.49429777,-0.56247675,-0.094811425
495415136,Accelerometer,-0.90500826,3.8642416,7.867347
495415136,Gyroscope,-0.67539823,-0.595501,-0.16299044
495415136,Accelerometer,-0.59376204,3.6774938,8.078036
495415136,Gyroscope,-1.0951252,-0.5912398,-0.10972559
495415168,Accelerometer,-0.4165911,3.5865142,9.543288
495415168,Gyroscope,-1.4626527,-0.44849002,-0.13529271
495415168,Accelerometer,0.19632454,1.9728222,9.672575
495415168,Gyroscope,-1.6117942,-0.48151422,-0.243953
495415200,Accelerometer,-0.4165911,2.1643584,11.745954
495415200,Gyroscope,-1.5617253,-0.28336897,-0.39842105
495415264,Accelerometer,-1.2210429,3.4715924,11.501745
495415264,Gyroscope,-1.1814142,-0.2087982,-0.37285393
495415264,Accelerometer,-0.15322891,4.7548847,9.964667
495415264,Gyroscope,-0.84478045,-0.04154658,-0.19601464
495415264,Accelerometer,0.46447513,4.6686935,9.619903
495415264,Gyroscope,-0.7371855,0.0042611877,-0.08735435
495415296,Accelerometer,1.934515,3.2704794,9.859323
495415296,Gyroscope,-0.57206446,-0.25993246,-0.033024207
495415328,Accelerometer,1.9871874,1.4700398,10.764331
495415328,Gyroscope,-0.5816521,-0.92254716,-0.26419365
495415328,Accelerometer,1.9728222,0.89064306,9.907207
495415328,Gyroscope,-0.54543203,-0.71587956,-0.4857754
495415360,Accelerometer,1.4269443,0.08140286,8.202535
495415360,Gyroscope,-0.38670278,0.09800732,-0.5827174
495415360,Accelerometer,-0.50757074,-0.25857377,6.4068837
495415360,Gyroscope,-0.26419365,1.2101773,-0.5582156
495415392,Accelerometer,-1.1683705,-0.21547815,7.311892
495415392,Gyroscope,-0.3920293,2.551386,-0.54330146
495415424,Accelerometer,-1.6376339,0.4357447,11.281479
495415424,Gyroscope,-0.4506206,2.5268843,-0.5891092
495415424,Accelerometer,-3.2944214,1.8483237,10.845734
495415424,Gyroscope,-0.12890093,-0.09374613,-0.46873066
495415456,Accelerometer,-0.49799395,0.4261679,10.941502
495415456,Gyroscope,0.5784562,-1.1973938,-0.29295665
495415456,Accelerometer,-0.5554548,-0.076614454,9.586384
495415456,Gyroscope,1.4264326,-1.5393541,-0.6828553
495415488,Accelerometer,0.08140286,2.930503,11.271901
495415488,Gyroscope,1.8195271,-0.27165073,-0.886327
495415520,Accelerometer,-1.3934253,3.8067808,9.868899
495415520,Gyroscope,1.99104,-0.6945736,-0.39629045
495415520,Accelerometer,-2.1883004,3.5865142,9.677363
495415520,Gyroscope,1.736434,-0.50282013,0.09694202
495415552,Accelerometer,0.8810662,3.7445314,9.988609
495415552,Gyroscope,1.2858135,-0.92041653,0.4559471
495415552,Accelerometer,2.2409728,3.083732,8.920795
495415552,Gyroscope,0.9044371,-1.4104532,0.30041373
495415584,Accelerometer,0.4405331,4.525041,9.126697
495415584,Gyroscope,0.39735577,-1.0557092,-0.15872924
495415616,Accelerometer,-0.02873042,3.7972038,10.036493
495415616,Gyroscope,0.15127216,-0.7755362,-0.08202787
495415616,Accelerometer,0.02873042,3.5625722,8.494628
495415616,Gyroscope,0.33876443,-0.46020827,0.19388404
495415648,Accelerometer,0.08619126,3.4524388,8.169016
495415648,Gyroscope,0.0074570784,-0.40694344,0.36220095
495415648,Accelerometer,0.33997664,3.1603463,8.020576
495415648,Gyroscope,-0.16085984,-0.044742472,0.5315832
495415680,Accelerometer,0.12928689,3.2130187,8.073248
495415680,Gyroscope,-0.3494174,0.10013791,0.5933704
495415712,Accelerometer,0.9864111,3.2369606,9.552865
495415712,Gyroscope,-0.50495076,0.12996623,0.556085
495415712,Accelerometer,2.4277205,3.371036,11.075577
495415712,Gyroscope,-0.33343795,0.20347172,0.27165073
495415744,Accelerometer,1.4413095,2.7629087,10.228029
495415744,Gyroscope,0.120378554,-0.0692443,-0.064983115
495415744,Accelerometer,-0.009576807,3.3279405,8.738836
495415744,Gyroscope,0.3494174,-0.18962285,-0.07457078
495415776,Accelerometer,0.5506664,3.3806129,9.232041
495415776,Gyroscope,0.24608359,-0.06604841,0.04154658
495415808,Accelerometer,1.6089035,2.7868507,10.491392
495415808,Gyroscope,0.2759119,0.23010413,0.03089361
495415808,Accelerometer,1.6807296,2.8443117,9.964667
495415808,Gyroscope,0.48151422,0.37498453,-0.019175345
495415840,Accelerometer,0.8523358,3.7445314,8.853758
495415840,Gyroscope,0.5571503,0.43037996,0.011718267
495415872,Accelerometer,0.58897364,3.4045548,8.858546
495415872,Gyroscope,0.5113425,0.6647453,0.089484945
495415872,Accelerometer,0.2825158,3.5194764,9.672575
495415872,Gyroscope,0.58378273,0.95131016,0.14168449
495415904,Accelerometer,0.062249243,3.7205894,8.604761
495415904,Gyroscope,0.7691444,0.9150901,0.122509144
495415904,Accelerometer,0.10534488,4.256891,7.867347
495415904,Gyroscope,0.5656727,0.81282157,0.15233746
495415968,Accelerometer,0.29209262,4.2425256,8.307879
495415968,Gyroscope,0.26419365,1.1015171,0.21305938
495416000,Accelerometer,0.17717093,3.371036,8.552089
495416000,Gyroscope,0.07350549,1.3230988,0.11824796
495416000,Accelerometer,-0.8523358,3.6535518,9.500193
495416000,Gyroscope,0.01065297,1.1782184,0.11824796
495416032,Accelerometer,-0.94810385,4.175488,9.816227
495416032,Gyroscope,0.19281875,0.95663667,0.23223473
495416032,Accelerometer,-0.51235914,4.510676,9.56723
495416032,Gyroscope,0.36113566,0.574195,0.28123838
495416064,Accelerometer,-0.7517793,4.285621,8.810662
495416064,Gyroscope,0.41440052,0.14914156,0.21518998
495416096,Accelerometer,-0.5363012,4.1802764,8.365341
495416096,Gyroscope,0.39735577,-0.08415846,0.117182665
495416096,Accelerometer,-0.7182605,4.4436383,7.651869
495416096,Gyroscope,0.32704616,-0.19494934,0.023436533
495416128,Accelerometer,-0.4309563,4.5298295,7.752425
495416128,Gyroscope,0.07670138,-0.15659864,0.05219955
495416128,Accelerometer,-0.63206923,4.261679,9.030929
495416128,Gyroscope,-0.13529271,-0.040481284,0.15340276
495416160,Accelerometer,-0.59855044,4.357447,9.442732
495416160,Gyroscope,-0.070309594,0.02450183,0.19068815
495416192,Accelerometer,-0.5506664,4.357447,9.131485
495416192,Gyroscope,0.06604841,0.01384886,0.116117366
495416192,Accelerometer,-0.4309563,4.3143516,8.647857
495416192,Gyroscope,0.16085984,-0.017044751,0.039415985
495416224,Accelerometer,-0.47884035,4.477157,7.9870567
495416224,Gyroscope,0.088419646,-0.063917816,-0.005326485
495416224,Accelerometer,-0.62249243,4.477157,8.207323
495416224,Gyroscope,-0.1384886,-0.064983115,0.015979454
495416256,Accelerometer,-0.320823,4.280833,8.911219
495416256,Gyroscope,-0.25886714,0.0021305939,0.043677174
495416288,Accelerometer,-0.4261679,4.261679,9.423578
495416288,Gyroscope,-0.18749227,-0.018110048,0.023436533
495416288,Accelerometer,-0.8379706,4.285621,9.921572
495416288,Gyroscope,0.031958908,-0.03835069,-0.019175345
495416320,Accelerometer,-0.60333884,4.4244847,8.954314
495416320,Gyroscope,0.22903883,-0.1054644,-0.018110048
495416320,Accelerometer,-0.51235914,4.4819455,7.8290396
495416320,Gyroscope,0.15553336,-0.05646074,-0.03728539
495416352,Accelerometer,-0.5793968,4.3478703,8.42759
495416352,Gyroscope,-0.06178722,0.026632423,-0.01065297
495416384,Accelerometer,-0.61291564,4.280833,9.931149
495416384,Gyroscope,-0.08522376,0.08628905,0.020240642
495416384,Accelerometer,-0.5602432,4.4484267,10.242394
495416384,Gyroscope,0.13422741,0.07670138,0.014914157
495416416,Accelerometer,-0.50757074,4.4244847,9.054871
495416416,Gyroscope,0.32704616,0.04793836,0.011718267
495416416,Accelerometer,-0.56982,4.486734,8.341399
495416416,Gyroscope,0.25886714,0.03728539,0.018110048
495416448,Accelerometer,-0.4165911,4.5154643,8.643068
495416448,Gyroscope,0.117182665,-0.05219955,0.017044751
495416480,Accelerometer,-0.46926352,4.477157,8.901642
495416480,Gyroscope,0.12996623,-0.10866029,-0.0074570784
495416480,Accelerometer,-0.5602432,4.630386,8.643068
495416480,Gyroscope,0.14807628,-0.16618632,0.009587673
495416512,Accelerometer,-0.37349546,4.4484267,8.825027
495416512,Gyroscope,0.11292148,-0.117182665,0.067113705
495416512,Accelerometer,-0.51235914,4.510676,8.925584
495416512,Gyroscope,0.18536167,-0.009587673,0.09055024
495416544,Accelerometer,-0.50278234,4.6255975,8.99741
495416544,Gyroscope,0.3142626,0.11824796,0.09374613
495416576,Accelerometer,-0.4165911,4.7070007,8.336611
495416576,Gyroscope,0.409074,0.2077329,0.09694202
495416576,Accelerometer,-0.50278234,4.76925,8.192958
495416576,Gyroscope,0.3483521,0.27058542,0.119313255
495416640,Accelerometer,-0.81881696,4.8698063,8.63828
495416640,Gyroscope,0.27058542,0.25247538,0.1736434
495416640,Accelerometer,-0.033518825,4.7884035,8.0445175
495416640,Gyroscope,0.29934844,-0.04793836,0.08628905
495416672,Accelerometer,-0.45968673,5.3678,7.833828
495416672,Gyroscope,0.10866029,-0.1022685,-0.026632423
495416704,Accelerometer,0.21068975,5.8562174,12.081141
495416704,Gyroscope,-0.05219955,-0.2109288,0.020240642
495416704,Accelerometer,-0.5602432,4.4580035,8.058883
495416704,Gyroscope,-0.05219955,-0.23862651,-0.04900366
495416736,Accelerometer,0.2825158,4.9799395,8.394072
495416736,Gyroscope,0.07563608,-0.33876443,-0.21838588
495416736,Accelerometer,-0.46926352,4.9464207,7.359776
495416736,Gyroscope,-0.068179004,-0.77766675,-0.43464115
495416768,Accelerometer,-0.23942018,5.0374002,7.800309
495416768,Gyroscope,-0.6125457,-0.7552955,-0.39415985
495416800,Accelerometer,0.19632454,4.525041,8.058883
495416800,Gyroscope,-0.89271885,-0.6189375,-0.21945117
495416800,Accelerometer,-0.16759412,4.213795,9.634268
495416800,Gyroscope,-0.88845766,-0.26312834,-0.16192514
495416832,Accelerometer,0.22505496,4.1515455,10.6637745
495416832,Gyroscope,-0.47086126,-0.21945117,-0.119313255
495416832,Accelerometer,0.20590134,4.237737,9.040505
495416832,Gyroscope,0.040481284,-0.1736434,-0.19494934
495416864,Accelerometer,-0.31124622,4.5633483,7.6614456
495416864,Gyroscope,0.1022685,-0.0074570784,-0.18536167
495416896,Accelerometer,-0.11492168,4.477157,8.456321
495416896,Gyroscope,-0.11824796,0.09587672,-0.063917816
495416896,Accelerometer,-0.05746084,4.333505,9.433155
495416896,Gyroscope,-0.1374233,0.11185618,-0.02130594
495416928,Accelerometer,-0.21068975,4.3382936,8.935161
