timestamp,sensor,x,y,z
503645856,Accelerometer,0.272939,3.7301662,9.02614
503645856,Gyroscope,0.043677174,-0.009587673,0.020240642
503645888,Accelerometer,0.50278234,3.5338416,9.270349
503645888,Gyroscope,-0.07137489,-0.11185618,0.057526033
503645888,Accelerometer,0.7422025,3.371036,9.471462
503645888,Gyroscope,-0.04261188,-0.08522376,0.0692443
503645920,Accelerometer,0.7326257,3.4237084,9.279925
503645920,Gyroscope,0.03089361,-0.031958908,0.040481284
503645920,Accelerometer,0.6751649,3.5242648,9.040505
503645920,Gyroscope,0.07883197,0.02130594,0.017044751
503645952,Accelerometer,0.59855044,3.5434184,8.834604
503645952,Gyroscope,0.067113705,0.03089361,0.020240642
503645984,Accelerometer,0.60333884,3.5003228,8.944737
503645984,Gyroscope,0.0074570784,0.0,0.039415985
503645984,Accelerometer,0.6655881,3.4332852,9.217676
503645984,Gyroscope,-0.035154797,-0.035154797,0.04793836
503646016,Accelerometer,0.842759,3.4620156,9.294291
503646016,Gyroscope,-0.031958908,-0.039415985,0.04900366
503646016,Accelerometer,0.7374141,3.4524388,9.471462
503646016,Gyroscope,-0.022371236,-0.029828314,0.02130594
503646048,Accelerometer,0.60812724,3.5338416,9.270349
503646048,Gyroscope,0.02769772,-0.0021305939,0.0021305939
503646080,Accelerometer,0.5410896,3.6296098,9.040505
503646080,Gyroscope,0.068179004,0.063917816,0.009587673
503646080,Accelerometer,0.59376204,3.5673606,8.992621
503646080,Gyroscope,0.04261188,0.070309594,0.033024207
503646112,Accelerometer,0.58897364,3.4955344,9.203311
503646112,Gyroscope,-0.0085223755,0.0010652969,0.043677174
503646112,Accelerometer,0.81402856,3.4237084,9.160215
503646112,Gyroscope,-0.029828314,-0.04793836,0.03835069
503646144,Accelerometer,0.81402856,3.323152,9.394848
503646144,Gyroscope,-0.015979454,-0.014914157,0.017044751
503646176,Accelerometer,0.7613561,3.3614593,9.203311
503646176,Gyroscope,0.03728539,0.03728539,0.0042611877
503646176,Accelerometer,0.770933,3.371036,8.887277
503646176,Gyroscope,0.046873067,0.05539544,-0.0074570784
503646208,Accelerometer,0.6991069,3.4045548,9.11712
503646208,Gyroscope,-0.0042611877,0.0010652969,-0.022371236
503646208,Accelerometer,0.7422025,3.4380736,9.121908
503646208,Gyroscope,-0.02769772,-0.03728539,-0.028763017
503646240,Accelerometer,0.6943185,3.490746,9.246407
503646240,Gyroscope,-0.01065297,0.005326485,-0.035154797
503646272,Accelerometer,0.56982,3.6104562,9.294291
503646272,Gyroscope,0.0085223755,0.046873067,-0.036220096
503646272,Accelerometer,0.641646,3.643975,9.380483
503646272,Gyroscope,0.023436533,0.043677174,-0.012783563
503646304,Accelerometer,0.7661445,3.5625722,9.069236
503646304,Gyroscope,0.01065297,-0.0085223755,-0.0063917814
503646304,Accelerometer,0.6560113,3.6248214,9.332599
503646304,Gyroscope,-0.040481284,-0.068179004,-0.022371236
503646368,Accelerometer,0.6464345,3.6248214,9.222465
503646368,Gyroscope,-0.01384886,-0.026632423,-0.02130594
503646400,Accelerometer,0.58897364,3.5338416,9.169792
503646400,Gyroscope,0.02769772,0.026632423,-0.014914157
503646400,Accelerometer,0.39264908,3.6296098,9.097966
503646400,Gyroscope,0.033024207,0.035154797,-0.02130594
503646432,Accelerometer,0.21547815,3.5673606,9.11712
503646432,Gyroscope,0.019175345,0.02130594,-0.0021305939
503646432,Accelerometer,0.40222588,3.6343982,9.107543
503646432,Gyroscope,-0.011718267,-0.02450183,0.036220096
503646464,Accelerometer,0.6464345,3.4572272,9.23683
503646464,Gyroscope,-0.03728539,-0.031958908,0.044742472
503646496,Accelerometer,0.60812724,3.4476504,9.414001
503646496,Gyroscope,-0.01065297,0.01384886,0.02130594
503646496,Accelerometer,0.35913026,3.5290532,9.23683
503646496,Gyroscope,0.039415985,0.04261188,0.0074570784
503646528,Accelerometer,0.37828386,3.6487634,8.911219
503646528,Gyroscope,0.035154797,0.020240642,0.031958908
503646528,Accelerometer,0.5746084,3.5865142,9.069236
503646528,Gyroscope,-0.03089361,-0.012783563,0.05539544
503646560,Accelerometer,0.61770403,3.4811692,9.466674
503646560,Gyroscope,-0.054330144,-0.025567126,0.058591332
503646592,Accelerometer,0.79966336,3.4620156,9.255983
503646592,Gyroscope,0.0042611877,0.0031958907,0.053264845
503646592,Accelerometer,0.7086837,3.4859576,9.255983
503646592,Gyroscope,0.035154797,0.050068956,0.031958908
503646624,Accelerometer,0.62728083,3.5290532,9.078813
503646624,Gyroscope,0.03835069,0.033024207,0.03089361
503646624,Accelerometer,0.7038953,3.4284968,9.169792
503646624,Gyroscope,-0.0021305939,-0.01384886,0.035154797
503646656,Accelerometer,0.7038953,3.3806129,9.26556
503646656,Gyroscope,-0.018110048,-0.018110048,0.02450183
503646688,Accelerometer,0.6799533,3.41892,9.260772
503646688,Gyroscope,0.0074570784,0.020240642,0.02450183
503646688,Accelerometer,0.81881696,3.394978,9.217676
503646688,Gyroscope,0.0074570784,0.015979454,0.023436533
503646720,Accelerometer,0.7613561,3.394978,9.385271
503646720,Gyroscope,-0.01384886,-0.02130594,0.0063917814
503646720,Accelerometer,0.6703765,3.4620156,9.41879
503646720,Gyroscope,-0.0021305939,-0.036220096,-0.0074570784
503646752,Accelerometer,0.6847417,3.4763808,9.126697
503646752,Gyroscope,0.03835069,-0.012783563,-0.014914157
503646784,Accelerometer,0.60812724,3.6152446,9.021352
503646784,Gyroscope,0.05219955,0.023436533,-0.018110048
503646784,Accelerometer,0.62249243,3.5769374,9.006987
503646784,Gyroscope,0.028763017,0.0031958907,0.0
503646816,Accelerometer,0.7134721,3.5577838,9.078813
503646816,Gyroscope,-0.011718267,-0.026632423,0.0031958907
503646816,Accelerometer,0.62728083,3.5673606,9.299079
503646816,Gyroscope,-0.01384886,-0.022371236,0.0010652969
503646848,Accelerometer,0.61770403,3.53863,9.337387
503646848,Gyroscope,0.018110048,-0.0074570784,0.0063917814
503646880,Accelerometer,0.7038953,3.5242648,8.963891
503646880,Gyroscope,0.025567126,-0.01384886,0.01065297
503646880,Accelerometer,0.6703765,3.5242648,9.011775
503646880,Gyroscope,-0.009587673,-0.0042611877,0.0021305939
503646912,Accelerometer,0.51714754,3.5625722,9.3421755
503646912,Gyroscope,-0.014914157,0.005326485,0.0010652969
503646912,Accelerometer,0.6655881,3.4380736,9.198523
503646912,Gyroscope,0.0031958907,-0.015979454,0.018110048
503646944,Accelerometer,0.79966336,3.4859576,9.184157
503646944,Gyroscope,-0.01065297,-0.043677174,0.0074570784
503646976,Accelerometer,0.6943185,3.4955344,9.188946
503646976,Gyroscope,0.0021305939,-0.005326485,-0.0085223755
503646976,Accelerometer,0.63206923,3.5817258,9.212888
503646976,Gyroscope,0.02130594,0.044742472,-0.0010652969
503647008,Accelerometer,0.63206923,3.5577838,9.11712
503647008,Gyroscope,0.0010652969,0.0,0.0063917814
503647008,Accelerometer,0.6560113,3.6008794,9.260772
503647008,Gyroscope,-0.025567126,-0.035154797,0.005326485
503647072,Accelerometer,0.6607997,3.5673606,9.303867
503647072,Gyroscope,-0.0074570784,-0.0031958907,0.018110048
503647104,Accelerometer,0.8379706,3.4859576,9.078813
503647104,Gyroscope,0.009587673,0.009587673,0.026632423
503647104,Accelerometer,0.79487497,3.5098996,9.088389
503647104,Gyroscope,-0.011718267,0.005326485,0.0074570784
503647136,Accelerometer,0.7374141,3.490746,9.126697
503647136,Gyroscope,-0.012783563,0.012783563,-0.0021305939
503647136,Accelerometer,0.58897364,3.5434184,9.289502
503647136,Gyroscope,0.0042611877,0.033024207,0.0063917814
503647168,Accelerometer,0.6895301,3.4620156,9.409213
503647168,Gyroscope,0.0010652969,0.018110048,0.025567126
503647200,Accelerometer,0.7278373,3.466804,9.390059
503647200,Gyroscope,0.005326485,-0.020240642,0.014914157
503647200,Accelerometer,0.81881696,3.4811692,9.088389
503647200,Gyroscope,0.025567126,-0.011718267,0.0
503647232,Accelerometer,0.6751649,3.5529952,9.030929
503647232,Gyroscope,0.02450183,0.033024207,-0.020240642
503647232,Accelerometer,0.47405192,3.5194764,9.11712
503647232,Gyroscope,0.015979454,0.04793836,-0.01065297
503647264,Accelerometer,0.5746084,3.5673606,9.260772
503647264,Gyroscope,0.0,0.009587673,0.01384886
503647296,Accelerometer,0.79008657,3.620033,9.083601
503647296,Gyroscope,-0.0031958907,-0.02769772,0.020240642
503647296,Accelerometer,0.80445176,3.5242648,9.064447
503647296,Gyroscope,-0.0031958907,0.02130594,0.0085223755
503647328,Accelerometer,0.7038953,3.5338416,9.260772
503647328,Gyroscope,0.005326485,0.05113425,-0.011718267
503647328,Accelerometer,0.48362875,3.5529952,9.32781
503647328,Gyroscope,0.005326485,0.011718267,-0.01065297
503647360,Accelerometer,0.6368576,3.5194764,9.169792
503647360,Gyroscope,0.0,-0.023436533,0.014914157
503647392,Accelerometer,0.81881696,3.41892,9.112331
503647392,Gyroscope,0.0063917814,0.014914157,0.01384886
503647392,Accelerometer,0.78529817,3.4093432,9.155427
503647392,Gyroscope,0.0063917814,0.05539544,-0.0074570784
503647424,Accelerometer,0.50278234,3.4284968,9.409213
503647424,Gyroscope,-0.011718267,0.033024207,-0.025567126
503647424,Accelerometer,0.6368576,3.5242648,9.390059
503647424,Gyroscope,-0.020240642,-0.040481284,-0.0085223755
503647456,Accelerometer,0.80924016,3.466804,9.208099
503647456,Gyroscope,-0.0010652969,-0.03728539,-0.0010652969
503647488,Accelerometer,0.641646,3.53863,9.294291
503647488,Gyroscope,0.034089502,0.02450183,-0.02130594
503647488,Accelerometer,0.50757074,3.6583402,9.160215
503647488,Gyroscope,0.05113425,0.031958908,-0.029828314
503647520,Accelerometer,0.6847417,3.7062242,8.99741
503647520,Gyroscope,0.040481284,0.02130594,-0.020240642
503647520,Accelerometer,0.61291564,3.6727054,8.925584
503647520,Gyroscope,0.0074570784,0.0021305939,-0.0042611877
503647552,Accelerometer,0.545878,3.6104562,9.006987
503647552,Gyroscope,-0.02130594,-0.017044751,0.01065297
503647584,Accelerometer,0.6512229,3.5003228,9.141062
503647584,Gyroscope,-0.039415985,-0.022371236,0.023436533
503647584,Accelerometer,0.7374141,3.4141316,9.23683
503647584,Gyroscope,-0.033024207,-0.0031958907,0.025567126
503647616,Accelerometer,0.7278373,3.4332852,9.313444
503647616,Gyroscope,-0.023436533,0.0063917814,0.005326485
503647616,Accelerometer,0.5363012,3.4237084,9.5385
503647616,Gyroscope,-0.012783563,0.009587673,0.0042611877
503647648,Accelerometer,0.79487497,3.4141316,9.303867
503647648,Gyroscope,0.0010652969,-0.02130594,0.015979454
503647680,Accelerometer,0.82360536,3.3854012,9.385271
503647680,Gyroscope,0.0,-0.043677174,-0.011718267
503647680,Accelerometer,0.7086837,3.4332852,9.040505
503647680,Gyroscope,0.03835069,-0.017044751,-0.03728539
503647744,Accelerometer,0.62728083,3.5529952,8.892065
503647744,Gyroscope,0.05219955,0.05219955,-0.036220096
503647776,Accelerometer,0.48841715,3.596091,9.074024
503647776,Gyroscope,0.019175345,0.04900366,-0.018110048
503647776,Accelerometer,0.59376204,3.620033,8.987833
503647776,Gyroscope,-0.020240642,-0.020240642,0.011718267
503647808,Accelerometer,0.770933,3.5529952,9.232041
503647808,Gyroscope,-0.050068956,-0.028763017,0.018110048
503647808,Accelerometer,0.82360536,3.4237084,9.3421755
503647808,Gyroscope,-0.03728539,0.0085223755,0.0021305939
503647840,Accelerometer,0.49320555,3.5529952,9.643845
503647840,Gyroscope,-0.009587673,0.029828314,-0.022371236
503647872,Accelerometer,0.5506664,3.6008794,9.414001
503647872,Gyroscope,0.026632423,-0.01384886,-0.009587673
503647872,Accelerometer,0.7757214,3.5290532,8.983045
503647872,Gyroscope,0.029828314,-0.015979454,0.0042611877
503647904,Accelerometer,0.6512229,3.5242648,9.045294
503647904,Gyroscope,0.012783563,0.0010652969,-0.0085223755
503647904,Accelerometer,0.3878607,3.572149,9.308656
503647904,Gyroscope,0.005326485,0.015979454,-0.0074570784
503647936,Accelerometer,0.5650316,3.5625722,8.963891
503647936,Gyroscope,0.0074570784,-0.034089502,0.02130594
503647936,Accelerometer,0.770933,3.4524388,8.973468
503647936,Gyroscope,-0.015979454,-0.017044751,0.02450183
503647968,Accelerometer,0.81402856,3.4237084,9.169792
503647968,Gyroscope,-0.02450183,0.019175345,0.014914157
503648000,Accelerometer,0.80445176,3.4045548,9.394848
503648000,Gyroscope,-0.023436533,0.02130594,0.0021305939
503648000,Accelerometer,0.7278373,3.4572272,9.519346
503648000,Gyroscope,-0.0042611877,0.011718267,-0.009587673
503648032,Accelerometer,0.7134721,3.6104562,9.212888
503648032,Gyroscope,0.023436533,0.009587673,-0.01065297
503648064,Accelerometer,0.59855044,3.5817258,9.313444
503648064,Gyroscope,0.009587673,-0.0085223755,-0.018110048
503648064,Accelerometer,0.7134721,3.5625722,9.121908
503648064,Gyroscope,0.01065297,-0.031958908,-0.009587673
