timestamp,sensor,x,y,z
495516384,Accelerometer,-0.9720459,5.434838,7.9343843
495516384,Gyroscope,-0.08096257,-0.36539686,0.09694202
495516384,Accelerometer,-0.94810385,5.2528787,7.656657
495516384,Gyroscope,-0.29508725,-0.47192654,0.13529271
495516416,Accelerometer,-0.7422025,5.118803,7.9583263
495516416,Gyroscope,-0.52945256,-0.53264844,0.11185618
495516448,Accelerometer,-0.5506664,4.9655743,8.1163435
495516448,Gyroscope,-0.6551576,-0.5102772,0.03835069
495516448,Accelerometer,-0.44532153,4.5537715,9.02614
495516448,Gyroscope,-0.6402435,-0.43996763,-0.029828314
495516480,Accelerometer,0.1436521,4.223372,9.270349
495516480,Gyroscope,-0.47831833,-0.5550197,-0.06285252
495516480,Accelerometer,0.009576807,4.606444,9.050082
495516480,Gyroscope,-0.32598087,-0.5944357,-0.18003519
495516512,Accelerometer,-0.33518824,4.5537715,9.437943
495516512,Gyroscope,-0.24714889,-0.46979594,-0.21945117
495516544,Accelerometer,0.05746084,4.2904096,8.925584
495516544,Gyroscope,-0.2098635,-0.4548818,-0.22797355
495516544,Accelerometer,-0.12928689,4.232949,9.41879
495516544,Gyroscope,-0.08096257,-0.3781804,-0.19814523
495516576,Accelerometer,0.58418524,4.060566,9.835381
495516576,Gyroscope,0.16299044,-0.2780425,-0.23116943
495516576,Accelerometer,0.16280572,3.9839516,8.7771435
495516576,Gyroscope,0.3100014,-0.23116943,-0.46660006
495516608,Accelerometer,-0.4405331,4.333505,8.767567
495516608,Gyroscope,0.4112046,-0.05539544,-0.4868407
495516640,Accelerometer,-0.5267244,4.8985367,7.062895
495516640,Gyroscope,0.15659864,-0.24714889,-0.2801731
495516640,Accelerometer,0.009576807,5.1140146,7.1059904
495516640,Gyroscope,-0.6594188,-0.46766534,-0.012783563
495516672,Accelerometer,0.05746084,4.3047748,8.935161
495516672,Gyroscope,-1.259181,-0.40587813,0.009587673
495516672,Accelerometer,-0.16280572,3.8977604,10.031705
495516672,Gyroscope,-1.3092499,-0.43677175,-0.045807768
495516704,Accelerometer,-0.08619126,3.5673606,10.6877165
495516704,Gyroscope,-1.004575,-0.25460598,-0.04793836
495516736,Accelerometer,-0.9720459,4.5394063,10.31901
495516736,Gyroscope,-0.487906,-0.175774,-0.064983115
495516736,Accelerometer,-1.757344,4.8841715,8.968679
495516736,Gyroscope,-0.06178722,-0.1725781,0.23969181
495516800,Accelerometer,-0.19153613,4.6351743,8.149862
495516800,Gyroscope,0.19494934,0.14061919,0.624264
495516800,Accelerometer,0.37828386,4.3143516,6.8282633
495516800,Gyroscope,0.23969181,0.6785942,0.653027
495516832,Accelerometer,-0.51714754,4.050989,8.221688
495516832,Gyroscope,-0.23969181,0.8053645,0.5731298
495516864,Accelerometer,-0.05267244,3.0550013,9.294291
495516864,Gyroscope,-0.40694344,0.7297284,0.71161836
495516864,Accelerometer,0.81881696,2.9831753,10.208876
495516864,Gyroscope,-0.14381509,0.8479764,0.6402435
495516896,Accelerometer,0.22026655,3.8786068,9.864111
495516896,Gyroscope,0.16299044,0.4868407,0.44103295
495516896,Accelerometer,-0.110133275,3.9695864,8.734048
495516896,Gyroscope,0.034089502,0.05646074,0.4474247
495516928,Accelerometer,0.6368576,2.6527755,9.299079
495516928,Gyroscope,-0.32171968,-0.07989727,0.51666903
495516960,Accelerometer,2.0733786,1.4460979,10.04607
495516960,Gyroscope,-0.35474387,-0.22051647,0.31106672
495516960,Accelerometer,0.7182605,2.5905263,9.021352
495516960,Gyroscope,-0.20347172,-0.3771151,-0.33556855
495516992,Accelerometer,-0.45968673,4.1659107,8.901642
495516992,Gyroscope,-0.19388404,-0.07776668,-0.50708133
495516992,Accelerometer,0.062249243,3.8355112,9.792285
495516992,Gyroscope,-0.28976077,-0.088419646,-0.26419365
495517024,Accelerometer,0.16280572,3.4476504,9.768343
495517024,Gyroscope,-0.15659864,-0.12783563,-0.19175345
