timestamp,sensor,x,y,z
510414752,Accelerometer,-0.110133275,4.256891,8.714894
510414752,Gyroscope,-0.16299044,0.033024207,0.046873067
510414784,Accelerometer,-0.29688102,4.280833,9.121908
510414784,Gyroscope,-0.28336897,-0.14914156,-0.036220096
510414784,Accelerometer,-0.320823,4.223372,9.485827
510414784,Gyroscope,-0.22903883,-0.12783563,-0.026632423
510414816,Accelerometer,-0.33039984,4.1515455,9.461885
510414816,Gyroscope,-0.08309316,-0.022371236,0.009587673
510414816,Accelerometer,-0.24420857,4.1802764,9.409213
510414816,Gyroscope,0.04261188,0.058591332,0.040481284
510414848,Accelerometer,-0.05267244,4.237737,8.887277
510414848,Gyroscope,0.119313255,0.1022685,0.044742472
510414880,Accelerometer,-0.11492168,4.309563,8.561666
510414880,Gyroscope,0.07563608,0.058591332,0.0085223755
510414880,Accelerometer,-0.29209262,4.4005427,8.542512
510414880,Gyroscope,-0.028763017,-0.01384886,-0.023436533
510414912,Accelerometer,-0.2681506,4.453215,8.767567
510414912,Gyroscope,-0.10652969,-0.053264845,-0.019175345
510414912,Accelerometer,-0.25857377,4.2760444,8.825027
510414912,Gyroscope,-0.08735435,-0.020240642,0.0031958907
510414944,Accelerometer,-0.29209262,4.189853,8.858546
510414944,Gyroscope,-0.033024207,0.0692443,0.020240642
510414976,Accelerometer,-0.35913026,4.256891,9.107543
510414976,Gyroscope,-0.012783563,0.1022685,0.026632423
510414976,Accelerometer,-0.25378537,4.074931,9.227253
510414976,Gyroscope,-0.009587673,0.044742472,0.026632423
510415008,Accelerometer,-0.25857377,4.0701427,9.131485
510415008,Gyroscope,0.0063917814,0.0021305939,0.0010652969
510415008,Accelerometer,-0.34955344,4.2185836,8.959103
510415008,Gyroscope,0.022371236,0.01065297,-0.01384886
510415040,Accelerometer,-0.46447513,4.237737,8.839393
510415040,Gyroscope,0.017044751,0.04261188,0.0
510415072,Accelerometer,-0.49320555,4.3143516,9.102755
510415072,Gyroscope,-0.028763017,0.04793836,0.015979454
510415072,Accelerometer,-0.272939,4.1706996,9.504981
510415072,Gyroscope,-0.04261188,-0.014914157,0.022371236
510415136,Accelerometer,-0.2633622,4.1180267,9.428367
510415136,Gyroscope,0.02130594,-0.05219955,0.005326485
510415136,Accelerometer,-0.4213795,4.2904096,9.112331
510415136,Gyroscope,0.10652969,-0.02130594,-0.01065297
510415168,Accelerometer,-0.47884035,4.390966,8.781932
510415168,Gyroscope,0.14274979,0.005326485,0.02130594
510415200,Accelerometer,-0.2777274,4.4244847,8.556877
510415200,Gyroscope,0.12783563,0.022371236,0.054330144
510415200,Accelerometer,-0.24899697,4.3861775,8.532935
510415200,Gyroscope,0.07244019,0.012783563,0.060721926
510415232,Accelerometer,-0.39264908,4.3766007,8.614338
510415232,Gyroscope,0.009587673,-0.0074570784,0.05539544
510415232,Accelerometer,-0.320823,4.2425256,8.844181
510415232,Gyroscope,-0.02769772,-0.035154797,0.064983115
510415264,Accelerometer,-0.24420857,4.1706996,8.978256
510415264,Gyroscope,-0.012783563,-0.014914157,0.08309316
510415296,Accelerometer,-0.15322891,4.132392,9.040505
510415296,Gyroscope,0.054330144,0.02130594,0.08522376
510415296,Accelerometer,-0.062249243,4.074931,8.75799
510415296,Gyroscope,0.10759499,0.029828314,0.08628905
510415328,Accelerometer,-0.033518825,4.074931,8.652645
510415328,Gyroscope,0.10652969,0.05646074,0.06604841
510415328,Accelerometer,-0.06703765,4.084508,8.571242
510415328,Gyroscope,0.08202787,0.07244019,0.034089502
510415360,Accelerometer,-0.19153613,4.1132383,8.671799
510415360,Gyroscope,0.026632423,0.070309594,0.014914157
510415392,Accelerometer,-0.23942018,4.0318356,9.112331
510415392,Gyroscope,-0.0042611877,0.059656627,0.0031958907
510415392,Accelerometer,-0.15801731,4.0174704,9.121908
510415392,Gyroscope,0.029828314,0.046873067,-0.0021305939
510415424,Accelerometer,-0.30645782,4.1611223,8.939949
510415424,Gyroscope,0.07350549,0.059656627,-0.03089361
510415424,Accelerometer,-0.34955344,4.3287168,8.743625
510415424,Gyroscope,0.08628905,0.08309316,-0.034089502
510415456,Accelerometer,-0.37349546,4.4340615,8.542512
510415456,Gyroscope,0.067113705,0.08522376,-0.034089502
510415488,Accelerometer,-0.40701428,4.4436383,8.580819
510415488,Gyroscope,0.033024207,0.11185618,-0.026632423
510415488,Accelerometer,-0.47884035,4.43885,8.892065
510415488,Gyroscope,0.026632423,0.14914156,-0.022371236
510415520,Accelerometer,-0.5267244,4.3526587,8.973468
510415520,Gyroscope,0.04793836,0.14274979,-0.01384886
510415520,Accelerometer,-0.6703765,4.3861775,9.021352
510415520,Gyroscope,0.070309594,0.12570503,-0.028763017
510415552,Accelerometer,-0.59376204,4.4963107,8.935161
510415552,Gyroscope,0.07350549,0.070309594,-0.009587673
510415584,Accelerometer,-0.45489833,4.4580035,8.848969
510415584,Gyroscope,0.04261188,-0.0021305939,0.0042611877
510415584,Accelerometer,-0.44532153,4.5298295,8.829816
510415584,Gyroscope,0.0021305939,-0.035154797,-0.0042611877
510415616,Accelerometer,-0.5363012,4.5633483,8.8777
510415616,Gyroscope,-0.0010652969,-0.026632423,-0.012783563
510415616,Accelerometer,-0.51235914,4.596867,8.992621
510415616,Gyroscope,0.023436533,-0.011718267,0.0085223755
510415648,Accelerometer,-0.36870706,4.462792,8.743625
510415648,Gyroscope,0.06604841,-0.005326485,0.035154797
510415680,Accelerometer,-0.24899697,4.43885,8.576031
510415680,Gyroscope,0.06178722,-0.0063917814,0.031958908
510415680,Accelerometer,-0.20111294,4.4580035,8.643068
510415680,Gyroscope,0.04793836,-0.0010652969,-0.0031958907
510415712,Accelerometer,-0.5267244,4.572925,8.7532015
510415712,Gyroscope,0.040481284,0.01384886,-0.025567126
510415712,Accelerometer,-0.45968673,4.582502,8.532935
510415712,Gyroscope,0.039415985,-0.009587673,0.0031958907
510415744,Accelerometer,-0.2825158,4.3766007,8.647857
510415744,Gyroscope,-0.0031958907,-0.040481284,0.015979454
510415776,Accelerometer,-0.2681506,4.3861775,8.695741
510415776,Gyroscope,-0.028763017,-0.02769772,-0.011718267
510415776,Accelerometer,-0.45489833,4.477157,8.911219
510415776,Gyroscope,-0.04261188,-0.046873067,-0.033024207
510415840,Accelerometer,-0.38307226,4.429273,8.868123
510415840,Gyroscope,-0.045807768,-0.08096257,-0.025567126
510415840,Accelerometer,-0.40222588,4.3526587,8.896853
510415840,Gyroscope,-0.035154797,-0.0692443,-0.026632423
510415872,Accelerometer,-0.39743748,4.3478703,9.021352
510415872,Gyroscope,-0.033024207,-0.04154658,-0.020240642
510415904,Accelerometer,-0.39264908,4.367024,9.016563
510415904,Gyroscope,-0.023436533,-0.06285252,-0.02450183
510415904,Accelerometer,-0.45010993,4.4675803,9.121908
510415904,Gyroscope,-0.0074570784,-0.088419646,-0.04154658
510415936,Accelerometer,-2.4708161,4.9943047,6.71813
510415936,Gyroscope,0.08628905,-0.5539544,-0.19814523
510415936,Accelerometer,-0.38307226,4.4244847,8.983045
510415936,Gyroscope,-0.46446946,-0.09055024,0.22690825
510415968,Accelerometer,0.81402856,4.9081135,9.615114
