timestamp,sensor,x,y,z
445713600,Accelerometer,-0.30645782,5.535394,7.40766
445713600,Gyroscope,-0.0692443,0.0,0.04900366
445713600,Accelerometer,-0.24420857,5.45878,8.049306
445713632,Gyroscope,-0.20027582,-0.12783563,-0.0042611877
445713632,Accelerometer,-0.50278234,5.425261,8.532935
445713632,Gyroscope,-0.14914156,-0.10759499,-0.01384886
445713632,Accelerometer,-0.7086837,5.4779334,8.580819
445713664,Gyroscope,-0.036220096,-0.0031958907,0.050068956
445713664,Accelerometer,-0.37828386,5.329493,8.643068
445713664,Gyroscope,0.06178722,0.09055024,0.09055024
445713696,Accelerometer,-0.34955344,5.3342814,8.432379
445713696,Gyroscope,0.09907261,0.089484945,0.070309594
445713696,Accelerometer,-0.32561144,5.3965306,8.154651
445713728,Gyroscope,0.060721926,0.0085223755,0.03728539
445713728,Accelerometer,-0.46447513,5.449203,8.001422
445713728,Gyroscope,-0.0085223755,-0.03728539,0.023436533
445713728,Accelerometer,-0.35434186,5.463568,8.255207
445713760,Gyroscope,-0.03089361,-0.04154658,0.04154658
445713760,Accelerometer,-0.21068975,5.363012,8.298303
445713760,Gyroscope,0.0063917814,0.0031958907,0.034089502
445713792,Accelerometer,-0.2825158,5.4444146,8.274361
445713792,Gyroscope,0.050068956,0.044742472,0.025567126
445713792,Accelerometer,-0.35434186,5.415684,8.111555
445713824,Gyroscope,0.044742472,0.05219955,0.028763017
445713824,Accelerometer,-0.4309563,5.48751,8.049306
445713824,Gyroscope,0.017044751,0.02769772,0.040481284
445713824,Accelerometer,-0.37349546,5.4444146,8.078036
445713856,Gyroscope,-0.03089361,0.009587673,0.05113425
445713856,Accelerometer,-0.3878607,5.377377,8.250419
445713856,Gyroscope,-0.05113425,0.0085223755,0.045807768
445713888,Accelerometer,-0.4357447,5.363012,8.331821
445713888,Gyroscope,-0.035154797,0.011718267,0.04900366
445713888,Accelerometer,-0.50757074,5.305551,8.307879
445713920,Gyroscope,-0.033024207,0.033024207,0.05219955
445713920,Accelerometer,-0.521936,5.3486466,8.437167
445713920,Gyroscope,-0.02450183,0.02130594,0.05646074
445713920,Accelerometer,-0.49320555,5.434838,8.355764
445713952,Gyroscope,-0.018110048,0.0063917814,0.070309594
445713952,Accelerometer,-0.50278234,5.482722,8.259995
445713952,Gyroscope,-0.026632423,0.011718267,0.08522376
445713984,Accelerometer,-0.46447513,5.4779334,8.101978
445713984,Gyroscope,-0.05113425,0.02130594,0.094811425
445713984,Accelerometer,-0.5363012,5.506664,7.943961
445714016,Gyroscope,-0.09800732,0.02450183,0.10972559
445714016,Accelerometer,-0.545878,5.4061074,7.97748
445714016,Gyroscope,-0.17683929,-0.022371236,0.13316211
445714016,Accelerometer,-0.25857377,5.3965306,7.8146744
445714048,Gyroscope,-0.23969181,-0.060721926,0.1395539
445714048,Accelerometer,-0.047884032,5.195418,8.283937
445714048,Gyroscope,-0.27271602,-0.10759499,0.09907261
445714080,Accelerometer,0.1388637,5.094861,8.432379
445714080,Gyroscope,-0.22051647,-0.116117366,0.063917816
445714080,Accelerometer,-0.009576807,5.0661306,8.461109
445714112,Gyroscope,-0.14061919,-0.05646074,0.035154797
445714112,Accelerometer,-0.02873042,4.9703627,8.719683
445714112,Gyroscope,-0.0042611877,0.060721926,0.046873067
445714144,Accelerometer,-0.05746084,5.085284,8.628703
445714144,Gyroscope,0.12357444,0.18536167,0.07457078
445714144,Accelerometer,0.07182605,5.056554,8.274361
445714144,Gyroscope,0.16512102,0.23330003,0.08096257
445714176,Accelerometer,0.0047884034,5.0278234,8.025364
445714176,Gyroscope,0.117182665,0.22264706,0.040481284
445714176,Accelerometer,-0.047884032,5.046977,8.049306
445714208,Gyroscope,0.03728539,0.18216577,-0.0021305939
445714208,Accelerometer,-0.20590134,5.0661306,8.394072
445714208,Gyroscope,-0.005326485,0.11292148,-0.026632423
445714272,Accelerometer,-0.2825158,5.023035,8.590396
445714272,Gyroscope,0.0074570784,0.09694202,-0.03728539
445714272,Accelerometer,-0.4309563,5.056554,8.7292595
445714272,Gyroscope,0.06178722,0.120378554,-0.036220096
445714304,Accelerometer,-0.45968673,5.0278234,8.724471
445714304,Gyroscope,0.13316211,0.15020686,-0.033024207
445714304,Accelerometer,-0.6560113,5.1810527,8.556877
445714336,Gyroscope,0.19175345,0.2077329,-0.019175345
445714336,Accelerometer,-0.6607997,5.257667,8.441956
445714336,Gyroscope,0.21838588,0.25354066,0.0021305939
445714368,Accelerometer,-0.60333884,5.1906295,8.360553
